PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37752439","Development and validation of a machine learning-based nomogram for predicting HLA-B27 expression","Zhu J, Tan W, Zhan X, Lu Q, Liang T, JieJiang, Li H, Zhou C, Wu S, Chen T, Yao Y, Liao S, Yu C, Chen L, Liu C.","BMC Immunol. 2023 Sep 26;24(1):32. doi: 10.1186/s12865-023-00566-z.","Zhu J","BMC Immunol","2023","2023/09/26","PMC10521518","","10.1186/s12865-023-00566-z"
"40561687","A two-stage machine learning-based risk assessment model for intravenous thrombolysis in acute ischemic stroke (AIS): A multi-center modeling study of pooled datasets","Zhu S, Ye Q, Wu H.","Int J Med Inform. 2025 Nov;203:106018. doi: 10.1016/j.ijmedinf.2025.106018. Epub 2025 Jun 21.","Zhu S","Int J Med Inform","2025","2025/06/25","","","10.1016/j.ijmedinf.2025.106018"
"36554844","An Exploration of the Multiplicative Effect of ""Other People"" and Other Environmental Effects on Violence in the Night-Time Environment","Moore SC, Woolley TE, White J.","Int J Environ Res Public Health. 2022 Dec 16;19(24):16963. doi: 10.3390/ijerph192416963.","Moore SC","Int J Environ Res Public Health","2022","2022/12/23","PMC9779416","","10.3390/ijerph192416963"
"37026913","Development and validation of machine learning-based models for prediction of adolescent idiopathic scoliosis: A retrospective study","Lv Z, Lv W, Wang L, Ou J.","Medicine (Baltimore). 2023 Apr 7;102(14):e33441. doi: 10.1097/MD.0000000000033441.","Lv Z","Medicine (Baltimore)","2023","2023/04/07","PMC10082234","","10.1097/MD.0000000000033441"
"40478467","Establishment and validation of a nomogram model for surgical site infections after posterior lumbar interbody fusion: a retrospective observational study","Long Z, Hu X, Liu J, Zhou P, Zhang B, Zhang S, Wei H, Qu W, Luan X.","Neurosurg Rev. 2025 Jun 6;48(1):488. doi: 10.1007/s10143-025-03645-4.","Long Z","Neurosurg Rev","2025","2025/06/06","","","10.1007/s10143-025-03645-4"
"35013638","Modeling COVID-19 hospital admissions and occupancy in the Netherlands","Bekker R, Uit Het Broek M, Koole G.","Eur J Oper Res. 2023 Jan 1;304(1):207-218. doi: 10.1016/j.ejor.2021.12.044. Epub 2022 Jan 5.","Bekker R","Eur J Oper Res","2023","2022/01/11","PMC8730382","","10.1016/j.ejor.2021.12.044"
"39465739","Early prediction of intraoperative hypothermia in patients undergoing gynecological laparoscopic surgery: A retrospective cohort study","Lu Z, Chen X.","Medicine (Baltimore). 2024 Oct 4;103(40):e39038. doi: 10.1097/MD.0000000000039038.","Lu Z","Medicine (Baltimore)","2024","2024/10/28","PMC11460914","","10.1097/MD.0000000000039038"
"36729904","Integrating DOI in T classification improves the predictive performance of laryngeal cancer staging","Wang X, Cao K, Guo E, Mao X, An C, Guo L, Zhang C, Yang X, Sun J, Yang W, Li X, Miao S.","Cancer Biol Ther. 2023 Dec 31;24(1):2169040. doi: 10.1080/15384047.2023.2169040.","Wang X","Cancer Biol Ther","2023","2023/02/02","PMC9897798","","10.1080/15384047.2023.2169040"
"40745593","A retrospective cohort study using machine learning to predict coronary artery lesions in children with Kawasaki disease","Duan Y, Chen A, Cheng X.","BMC Pediatr. 2025 Jul 31;25(1):583. doi: 10.1186/s12887-025-05917-w.","Duan Y","BMC Pediatr","2025","2025/08/01","PMC12312313","","10.1186/s12887-025-05917-w"
"35634419","Deep Learning Analysis of the Adipose Tissue and the Prediction of Prognosis in Colorectal Cancer","Lin A, Qi C, Li M, Guan R, Imyanitov EN, Mitiushkina NV, Cheng Q, Liu Z, Wang X, Lyu Q, Zhang J, Luo P.","Front Nutr. 2022 May 11;9:869263. doi: 10.3389/fnut.2022.869263. eCollection 2022.","Lin A","Front Nutr","2022","2022/05/31","PMC9131178","","10.3389/fnut.2022.869263"
"35586248","Sera Metabolomics Characterization of Patients at Different Stages in Wuhan Identifies Critical Biomarkers of COVID-19","Gu M, Pan H, Yuan Y, Zhou X, Chen L, Wang X, Fang F, Hu L, Xie Y, Shen C.","Front Cell Infect Microbiol. 2022 May 2;12:882661. doi: 10.3389/fcimb.2022.882661. eCollection 2022.","Gu M","Front Cell Infect Microbiol","2022","2022/05/19","PMC9108257","","10.3389/fcimb.2022.882661"
"40777171","The relationship between elderly nutritional risk index and short-term all-cause mortality in critically ill patients with cerebral injury: a retrospective cohort study from two cohorts","Gao Z, Mo X, Ge Y, Lu Y, Yu S.","Front Nutr. 2025 Jul 24;12:1620364. doi: 10.3389/fnut.2025.1620364. eCollection 2025.","Gao Z","Front Nutr","2025","2025/08/08","PMC12328167","","10.3389/fnut.2025.1620364"
