PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40458230","Advancing Musculoskeletal Care Using AI and Digital Health Applications: A Review of Commercial Solutions","Pawelczyk J, Kraus M, Voigtlaender S, Siebenlist S, Rupp MC.","HSS J. 2025 May 30;21(3):331-341. doi: 10.1177/15563316251341321. eCollection 2025 Aug.","Pawelczyk J","HSS J","2025","2025/06/03","PMC12126469","","10.1177/15563316251341321"
"36834325","Design and Conceptual Proposal of an Intelligent Clinical Decision Support System for the Diagnosis of Suspicious Obstructive Sleep Apnea Patients from Health Profile","Casal-Guisande M, Torres-Durán M, Mosteiro-Añón M, Cerqueiro-Pequeño J, Bouza-Rodríguez JB, Fernández-Villar A, Comesaña-Campos A.","Int J Environ Res Public Health. 2023 Feb 18;20(4):3627. doi: 10.3390/ijerph20043627.","Casal-Guisande M","Int J Environ Res Public Health","2023","2023/02/25","PMC9963107","","10.3390/ijerph20043627"
"40391869","[AI in mental healthcare: hope or hype?]","Bassil KC, van Dellen E.","Ned Tijdschr Geneeskd. 2025 May 22;169:D8469.","Bassil KC","Ned Tijdschr Geneeskd","2025","2025/05/20","","",""
"39449985","Applying queueing theory to evaluate wait-time-savings of triage algorithms","Thompson YLE, Levine GM, Chen W, Sahiner B, Li Q, Petrick N, Delfino JG, Lago MA, Cao Q, Samuelson FW.","Queueing Syst. 2024;108(3-4):579-610. doi: 10.1007/s11134-024-09927-w. Epub 2024 Sep 21.","Thompson YLE","Queueing Syst","2024","2024/10/25","PMC11496365","","10.1007/s11134-024-09927-w"
"35240825","Decision support model for the patient admission scheduling problem based on picture fuzzy aggregation information and TOPSIS methodology","Ashraf S, Rehman N, Abdullah S, Batool B, Lin M, Aslam M.","Math Biosci Eng. 2022 Jan 20;19(3):3147-3176. doi: 10.3934/mbe.2022146.","Ashraf S","Math Biosci Eng","2022","2022/03/04","","","10.3934/mbe.2022146"
"39799370","Developing a decision support tool to predict delayed discharge from hospitals using machine learning","Pahlevani M, Rajabi E, Taghavi M, VanBerkel P.","BMC Health Serv Res. 2025 Jan 11;25(1):56. doi: 10.1186/s12913-024-12195-2.","Pahlevani M","BMC Health Serv Res","2025","2025/01/11","PMC11724564","","10.1186/s12913-024-12195-2"
"37296707","Design of an Intelligent Decision Support System Applied to the Diagnosis of Obstructive Sleep Apnea","Casal-Guisande M, Ceide-Sandoval L, Mosteiro-Añón M, Torres-Durán M, Cerqueiro-Pequeño J, Bouza-Rodríguez JB, Fernández-Villar A, Comesaña-Campos A.","Diagnostics (Basel). 2023 May 25;13(11):1854. doi: 10.3390/diagnostics13111854.","Casal-Guisande M","Diagnostics (Basel)","2023","2023/06/10","PMC10252542","","10.3390/diagnostics13111854"
"33933665","PRimary carE digital Support ToOl in mental health (PRESTO): Design, development and study protocols","Anmella G, Primé-Tous M, Segú X, Solanes A, Ruíz V, Martín-Villalba I, Morilla I, Also-Fontanet A, Sant E, Murgui S, Sans-Corrales M, Murru A, Zahn R, Young AH, Vicens V, Viñas-Bardolet C, Martínez-Cerdá JF, Blanch J, Radua J, Fullana MÀ, Cavero M, Vieta E, Hidalgo-Mazzei D.","Span J Psychiatry Ment Health. 2024 Apr-Jun;17(2):114-125. doi: 10.1016/j.rpsm.2021.04.003. Epub 2021 Apr 29.","Anmella G","Span J Psychiatry Ment Health","2024","2021/05/02","","","10.1016/j.rpsm.2021.04.003"
"36381763","A Pilot Study of Augmented Intelligence Risk-Based Stratification for Endocrine Surgical Waiting List Prioritisation","Jegatheeswaran L, Tolley N.","Cureus. 2022 Oct 6;14(10):e29973. doi: 10.7759/cureus.29973. eCollection 2022 Oct.","Jegatheeswaran L","Cureus","2022","2022/11/16","PMC9636559","","10.7759/cureus.29973"
"40857378","Technologies to Address Wait Times in the Emergency Department: Health Technologies","","Ottawa (ON): Canadian Agency for Drugs and Technologies in Health; 2025 Jul. Report No.: EN0058.","","Technologies to Address Wait Times in the Emergency Department: Health Technologies","2025","2025/07/01","","",""
