dataset,non_null_age_count,median_age,q1_age,q3_age,min_age,max_age,<18_count,<18_pct,18_39_count,18_39_pct,40_59_count,40_59_pct,ge_60_count,ge_60_pct
clusters_with_care_setting,23019,49.5,30.5,67.9,0.0,103.6,1837,7.9804,6786,29.48,5966,25.9177,8430,36.6219
dataset_expandido,1023882,41.1,22.1,61.4,-0.9,111.0,205818,20.1017,290798,28.4015,251822,24.5948,274741,26.8333
features_24h_peak_emergency,22633,49.5,30.5,68.0,0.0,103.6,1807,7.9839,6683,29.5277,5822,25.7235,8321,36.7649
