ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0104-42302017001000890-scl","Cancer care network: Structure analysis of enabled services","Madi, Marisa Riscalla, Cerri, Giovanni Guido","Revista da Associação Médica Brasileira; 63(10); 890-898","Revista da Associação Médica Brasileira","English","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017001000890&lang=en" 
"S1413-81232017002401257-scl","A regulação municipal ambulatorial de serviços do Sistema Único de Saúde no Rio de Janeiro: avanços, limites e desafios","Pinto, Luiz Felipe, Soranz, Daniel, Scardua, Mariana Tomasi, Silva, Iandara de Moura","Ciência &amp; Saúde Coletiva; 22(4); 1257-1267","Ciência &amp; Saúde Coletiva","Portuguese, English","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232017002401257&lang=en" 
"S0034-72802012000600010-scl","A study of pent-up demand in ophthalmology: Divinolândia Hospital/Unicamp","Machado, Maria Cecilia, Kara-José, Newton, Arieta, Carlos Eduardo Leite, Lourenço, José Leonardo Garcia, Carvalho, Regina de Souza","Revista Brasileira de Oftalmologia; 71(6); 390-393","Revista Brasileira de Oftalmologia","English","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802012000600010&lang=en" 
"S1414-32832012000300005-scl","Transexualidade: aspectos psicológicos e novas demandas ao setor saúde","Sampaio, Liliana Lopes Pedral, Coelho, Maria Thereza Ávila Dantas","Interface - Comunicação, Saúde, Educação; 16(42); 637-649","Interface - Comunicação, Saúde, Educação","Portuguese","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832012000300005&lang=en" 
"S0004-27492011000500002-scl","Dificuldades de acesso ao tratamento de pacientes com indicação de cirurgia de catarata nos Sistemas de Saúde Público e Privado","Kara-Júnior, Newton, Dellapi Jr, Roberto, Espíndola, Rodrigo França de","Arquivos Brasileiros de Oftalmologia; 74(5); 323-325","Arquivos Brasileiros de Oftalmologia","Portuguese","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492011000500002&lang=en" 
"S0103-863X2011000100011-scl","Grupo de orientação de mães no contexto de uma clínica-escola","Pardo, Maria Benedita Lima, Carvalho, Margarida Maria Silveira Britto de","Paidéia (Ribeirão Preto); 21(48); 93-100","Paidéia (Ribeirão Preto)","Portuguese","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2011000100011&lang=en" 
"S0102-311X2008000300025-scl","Racionamiento vía listas de espera: medidas de mejora y posibles implicaciones","Rodríguez, Eva, Álvarez, Begoña, Abad, Pilar","Cadernos de Saúde Pública; 24(3); 702-707","Cadernos de Saúde Pública","Spanish","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2008000300025&lang=en" 
"S1413-80502007000400004-scl","Um estudo multinível sobre as filas para internações relacionadas com a gravidez, o parto e o puerpério no SUS","Marinho, Alexandre, Cardoso, Simone de Souza","Economia Aplicada; 11(4); 527-554","Economia Aplicada","Portuguese","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-80502007000400004&lang=en" 
"S0104-42302007000100019-scl","Expectativa de mulheres à espera de reprodução assistida em hospital público do DF - estudo bioético","Samrsla, Mônica, Nunes, Juliana Cezar, Kalume, Carolina, Cunha, Antônio Carlos Rodrigues da, Garrafa, Volnei","Revista da Associação Médica Brasileira; 53(1); 47-52","Revista da Associação Médica Brasileira","Portuguese","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302007000100019&lang=en" 
"S0102-311X2006001000029-scl","Um estudo sobre as filas para transplantes no Sistema Único de Saúde brasileiro","Marinho, Alexandre","Cadernos de Saúde Pública; 22(10); 2229-2239","Cadernos de Saúde Pública","Portuguese","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2006001000029&lang=en" 
